rank,team,matches_represented,expected_matches,eligible_pass_attempts,unsuccessful_pass_attempts,net_forward_distance,total_pass_distance,pass_verticality,pass_verticality_pct,angle_validation_difference,coverage_flag
1,Leicester City,38,38,13167,3863,126003.8000,283448.8769,0.4445,44.4538,0.0000,OK
2,Sunderland,38,38,12692,3830,129673.8000,292472.4654,0.4434,44.3371,0.0000,OK
3,West Bromwich Albion,38,38,12066,3724,117096.4000,275117.8723,0.4256,42.5623,0.0001,OK
4,Watford,38,38,14315,3969,121914.5000,299092.2521,0.4076,40.7615,0.0002,OK
5,Crystal Palace,38,38,13757,3710,122894.1000,304926.1040,0.4030,40.3029,0.0001,OK
6,Norwich City,38,38,14682,3999,120921.7000,310475.1625,0.3895,38.9473,0.0001,OK
7,West Ham United,38,38,14755,3445,114126.6000,312473.5455,0.3652,36.5236,0.0001,OK
8,Southampton,38,38,16121,3932,125985.5000,346086.0232,0.3640,36.4029,0.0000,OK
9,Newcastle United,38,38,14848,3569,112670.9000,309906.6715,0.3636,36.3564,0.0001,OK
10,Stoke City,38,38,16064,3507,121234.6000,349135.7936,0.3472,34.7242,0.0001,OK
11,Aston Villa,38,38,15226,3538,107626.7000,316484.9928,0.3401,34.0069,0.0003,OK
12,Liverpool,38,38,19477,4030,129114.9000,392552.3815,0.3289,32.8911,0.0003,OK
13,AFC Bournemouth,38,38,17277,3739,114796.6000,356582.4573,0.3219,32.1936,0.0005,OK
14,Everton,38,38,18002,3505,120070.2000,375801.7275,0.3195,31.9504,0.0002,OK
15,Tottenham Hotspur,38,38,18552,3807,125192.2000,393144.8023,0.3184,31.8438,0.0001,OK
16,Swansea City,38,38,18058,3643,115167.5000,372424.6564,0.3092,30.9237,0.0003,OK
17,Chelsea,38,38,19349,3413,114834.8000,375716.9629,0.3056,30.5642,0.0004,OK
18,Arsenal,38,38,20884,3463,116028.7000,395179.8721,0.2936,29.3610,0.0004,OK
19,Manchester City,38,38,20419,3650,108413.5000,385968.4642,0.2809,28.0887,0.0005,OK
20,Manchester United,38,38,19974,3796,114890.6000,411076.9892,0.2795,27.9487,0.0001,OK
