team,comparison_team,neighbour_rank,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
AFC Bournemouth,Swansea City,1,1.557469,0.693047,0.693047,0.250594,0.250594,0.833116,0.833116,0.855172,0.855172,0.676164,0.676164
AFC Bournemouth,Manchester United,2,2.022355,-1.576933,1.576933,0.836627,0.836627,0.120864,0.120864,-0.111377,0.111377,0.936079,0.936079
AFC Bournemouth,Chelsea,3,2.257509,-0.843710,0.843710,0.321628,0.321628,0.506087,0.506087,1.819161,1.819161,-0.845924,0.845924
AFC Bournemouth,Crystal Palace,4,2.268869,1.215343,1.215343,-1.600247,1.600247,1.007449,1.007449,0.293165,0.293165,0.094951,0.094951
AFC Bournemouth,Aston Villa,5,2.304958,0.893930,0.893930,-0.359118,0.359118,1.861207,1.861207,0.919182,0.919182,0.275261,0.275261
Arsenal,Chelsea,1,1.696545,0.200883,0.200883,-0.236781,0.236781,-0.427998,0.427998,-0.453190,0.453190,-1.547024,1.547024
Arsenal,Swansea City,2,2.265691,1.737640,1.737640,-0.307816,0.307816,-0.100969,0.100969,-1.417179,1.417179,-0.024937,0.024937
Arsenal,Stoke City,3,2.414794,2.018876,2.018876,-1.057623,1.057623,0.714491,0.714491,-0.211233,0.211233,0.285811,0.285811
Arsenal,Everton,4,2.446229,1.516668,1.516668,-0.511053,0.511053,0.628443,0.628443,-0.026884,0.026884,-1.739802,1.739802
Arsenal,Manchester United,5,2.599903,-0.532341,0.532341,0.278218,0.278218,-0.813221,0.813221,-2.383728,2.383728,0.234979,0.234979
Aston Villa,Swansea City,1,1.278238,-0.200883,0.200883,0.609712,0.609712,-1.028090,1.028090,-0.064010,0.064010,0.400903,0.400903
Aston Villa,Stoke City,2,1.371773,0.080353,0.080353,-0.140096,0.140096,-0.212631,0.212631,1.141936,1.141936,0.711650,0.711650
Aston Villa,Newcastle United,3,1.498640,0.502208,0.502208,-0.463697,0.463697,-0.257147,0.257147,-0.308528,0.308528,-1.271763,1.271763
Aston Villa,Norwich City,4,1.634313,-0.271192,0.271192,-0.974750,0.974750,0.133299,0.133299,-1.236671,1.236671,0.316502,0.316502
Aston Villa,Crystal Palace,5,1.672429,0.321413,0.321413,-1.241128,1.241128,-0.853758,0.853758,-0.626017,0.626017,-0.180310,0.180310
Chelsea,Manchester City,1,1.502666,-0.652870,0.652870,0.487375,0.487375,0.119123,0.119123,-1.150898,1.150898,-0.505444,0.505444
Chelsea,Arsenal,2,1.696545,-0.200883,0.200883,0.236781,0.236781,0.427998,0.427998,0.453190,0.453190,1.547024,1.547024
Chelsea,Everton,3,1.772423,1.315785,1.315785,-0.274272,0.274272,1.056441,1.056441,0.426306,0.426306,-0.192779,0.192779
Chelsea,Southampton,4,1.941020,1.064681,1.064681,-1.152336,1.152336,0.388953,0.388953,-0.375098,0.375098,-1.007052,1.007052
Chelsea,Liverpool,5,1.960618,0.261148,0.261148,-0.459750,0.459750,-1.756259,1.756259,0.692587,0.692587,0.018223,0.018223
Crystal Palace,Norwich City,1,1.419909,-0.592605,0.592605,0.266379,0.266379,0.987056,0.987056,-0.610654,0.610654,0.496812,0.496812
Crystal Palace,Newcastle United,2,1.511655,0.180795,0.180795,0.777432,0.777432,0.596611,0.596611,0.317489,0.317489,-1.091453,1.091453
Crystal Palace,Aston Villa,3,1.672429,-0.321413,0.321413,1.241128,1.241128,0.853758,0.853758,0.626017,0.626017,0.180310,0.180310
Crystal Palace,West Bromwich Albion,4,1.917452,0.411811,0.411811,-0.445938,0.445938,1.122593,1.122593,0.962709,0.962709,1.058843,1.058843
