team,comparison_team,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
AFC Bournemouth,Arsenal,2.816137,-1.044593,1.044593,0.558409,0.558409,0.934085,0.934085,2.272351,2.272351,0.701100,0.701100
AFC Bournemouth,Aston Villa,2.304958,0.893930,0.893930,-0.359118,0.359118,1.861207,1.861207,0.919182,0.919182,0.275261,0.275261
AFC Bournemouth,Chelsea,2.257509,-0.843710,0.843710,0.321628,0.321628,0.506087,0.506087,1.819161,1.819161,-0.845924,0.845924
AFC Bournemouth,Crystal Palace,2.268869,1.215343,1.215343,-1.600247,1.600247,1.007449,1.007449,0.293165,0.293165,0.094951,0.094951
AFC Bournemouth,Everton,2.964391,0.472076,0.472076,0.047356,0.047356,1.562528,1.562528,2.245467,2.245467,-1.038702,1.038702
AFC Bournemouth,Leicester City,3.911238,1.094814,1.094814,-2.419115,2.419115,1.551089,1.551089,0.549205,0.549205,-2.353625,2.353625
AFC Bournemouth,Liverpool,2.985858,-0.582561,0.582561,-0.138122,0.138122,-1.250172,1.250172,2.511748,2.511748,-0.827701,0.827701
AFC Bournemouth,Manchester City,2.357519,-1.496580,1.496580,0.809003,0.809003,0.625210,0.625210,0.668263,0.668263,-1.351368,1.351368
AFC Bournemouth,Manchester United,2.022355,-1.576933,1.576933,0.836627,0.836627,0.120864,0.120864,-0.111377,0.111377,0.936079,0.936079
AFC Bournemouth,Newcastle United,2.562255,1.396138,1.396138,-0.822815,0.822815,1.604060,1.604060,0.610654,0.610654,-0.996502,0.996502
AFC Bournemouth,Norwich City,2.568276,0.622738,0.622738,-1.333868,1.333868,1.994505,1.994505,-0.317489,0.317489,0.591763,0.591763
AFC Bournemouth,Southampton,2.656848,0.220972,0.220972,-0.830708,0.830708,0.895041,0.895041,1.444063,1.444063,-1.852976,1.852976
AFC Bournemouth,Stoke City,3.022986,0.974284,0.974284,-0.499214,0.499214,1.648576,1.648576,2.061118,2.061118,0.986911,0.986911
AFC Bournemouth,Sunderland,4.787702,1.828037,1.828037,-2.397410,2.397410,2.121587,2.121587,3.053271,3.053271,-0.095910,0.095910
AFC Bournemouth,Swansea City,1.557469,0.693047,0.693047,0.250594,0.250594,0.833116,0.833116,0.855172,0.855172,0.676164,0.676164
AFC Bournemouth,Tottenham Hotspur,3.310595,-0.482120,0.482120,0.069061,0.069061,-1.232266,1.232266,2.707618,2.707618,-1.368632,1.368632
AFC Bournemouth,Watford,3.664514,1.134990,1.134990,-1.691013,1.691013,1.975108,1.975108,2.280032,2.280032,-0.425839,0.425839
AFC Bournemouth,West Bromwich Albion,3.778894,1.627154,1.627154,-2.046185,2.046185,2.130042,2.130042,1.255874,1.255874,1.153794,1.153794
