team,attacking_territory_share_pct,pass_verticality,high_zone_pressures_per_100_opposition_passes,mean_final_third_destination_width,from_counter_possession_rate
AFC Bournemouth,52.9000,0.3219,33.3420,22.7020,4.4600
Arsenal,63.3000,0.2936,29.5860,20.9270,3.7290
Aston Villa,44.0000,0.3401,25.8580,21.9840,4.1730
Chelsea,61.3000,0.3056,31.3070,21.2810,5.3420
Crystal Palace,40.8000,0.4030,29.2910,22.4730,4.3610
Everton,48.2000,0.3195,27.0590,20.9480,5.5430
Leicester City,42.0000,0.4445,27.1050,22.2730,6.9140
Liverpool,58.7000,0.3289,38.3690,20.7400,5.3230
Manchester City,67.8000,0.2809,30.8280,22.1800,5.8690
Manchester United,68.6000,0.2795,32.8560,22.7890,3.4840
Newcastle United,39.0000,0.3636,26.8920,22.2250,5.4990
Norwich City,46.7000,0.3895,25.3220,22.9500,3.8430
Southampton,50.7000,0.3640,29.7430,21.5740,6.3920
Stoke City,43.2000,0.3472,26.7130,21.0920,3.4310
Sunderland,34.7000,0.4434,24.8110,20.3170,4.5600
Swansea City,46.0000,0.3092,29.9920,22.0340,3.7550
Tottenham Hotspur,57.7000,0.3184,38.2970,20.5870,5.8870
Watford,41.6000,0.4076,25.4000,20.9210,4.9040
West Bromwich Albion,36.7000,0.4256,24.7770,21.7210,3.2570
West Ham United,46.5000,0.3652,24.9560,22.3500,5.7520
