team,primary_zscore_top_3,primary_zscore_top_3_with_distances,min_max_top_3,min_max_top_3_with_distances,min_max_overlap_count,min_max_same_set,without_width_top_3,without_width_top_3_with_distances,without_width_overlap_count,without_width_same_set
AFC Bournemouth,Swansea City | Manchester United | Chelsea,Swansea City (1.5575) | Manchester United (2.0224) | Chelsea (2.2575),Swansea City | Manchester United | Chelsea,Swansea City (0.4579) | Manchester United (0.5951) | Chelsea (0.6656),3,True,Swansea City | Chelsea | Liverpool,Swansea City (1.3017) | Chelsea (1.3368) | Liverpool (1.6145),2,False
Arsenal,Chelsea | Swansea City | Stoke City,Chelsea (1.6965) | Swansea City (2.2657) | Stoke City (2.4148),Chelsea | Swansea City | Everton,Chelsea (0.4873) | Swansea City (0.6686) | Everton (0.7097),2,False,Manchester United | Chelsea | AFC Bournemouth,Manchester United (1.0379) | Chelsea (1.6349) | AFC Bournemouth (1.6634),1,False
Aston Villa,Swansea City | Stoke City | Newcastle United,Swansea City (1.2782) | Stoke City (1.3718) | Newcastle United (1.4986),Swansea City | Stoke City | Newcastle United,Swansea City (0.3801) | Stoke City (0.4029) | Newcastle United (0.4332),3,True,Stoke City | Norwich City | Swansea City,Stoke City (0.7601) | Norwich City (1.0685) | Swansea City (1.2766),2,False
Chelsea,Manchester City | Arsenal | Everton,Manchester City (1.5027) | Arsenal (1.6965) | Everton (1.7724),Manchester City | Arsenal | Everton,Manchester City (0.4447) | Arsenal (0.4873) | Everton (0.5226),3,True,Manchester City | AFC Bournemouth | Arsenal,Manchester City (0.9661) | AFC Bournemouth (1.3368) | Arsenal (1.6349),2,False
Crystal Palace,Norwich City | Newcastle United | Aston Villa,Norwich City (1.4199) | Newcastle United (1.5117) | Aston Villa (1.6724),Norwich City | Newcastle United | Aston Villa,Norwich City (0.4185) | Newcastle United (0.4435) | Aston Villa (0.5051),3,True,Watford | Norwich City | Newcastle United,Watford (1.1056) | Norwich City (1.2819) | Newcastle United (1.4779),2,False
Everton,Southampton | Chelsea | Aston Villa,Southampton (1.6078) | Chelsea (1.7724) | Aston Villa (1.9794),Southampton | Chelsea | Aston Villa,Southampton (0.4771) | Chelsea (0.5226) | Aston Villa (0.5778),3,True,West Ham United | Newcastle United | Southampton,West Ham United (1.0752) | Newcastle United (1.2707) | Southampton (1.3938),1,False
Leicester City,West Ham United | Newcastle United | Southampton,West Ham United (2.0470) | Newcastle United (2.1183) | Southampton (2.1837),West Ham United | Newcastle United | Southampton,West Ham United (0.6127) | Newcastle United (0.6313) | Southampton (0.6576),3,True,Southampton | West Ham United | Watford,Southampton (1.9919) | West Ham United (2.0446) | Watford (2.1043),2,False
Liverpool,Tottenham Hotspur | Chelsea | Arsenal,Tottenham Hotspur (0.6199) | Chelsea (1.9606) | Arsenal (2.8043),Tottenham Hotspur | Chelsea | Arsenal,Tottenham Hotspur (0.1792) | Chelsea (0.5814) | Arsenal (0.8227),3,True,Tottenham Hotspur | AFC Bournemouth | Chelsea,Tottenham Hotspur (0.5882) | AFC Bournemouth (1.6145) | Chelsea (1.8342),2,False
Manchester City,Chelsea | AFC Bournemouth | Manchester United,Chelsea (1.5027) | AFC Bournemouth (2.3575) | Manchester United (2.4702),Chelsea | AFC Bournemouth | Manchester United,Chelsea (0.4447) | AFC Bournemouth (0.6906) | Manchester United (0.7083),3,True,Chelsea | Arsenal | Tottenham Hotspur,Chelsea (0.9661) | Arsenal (2.1390) | Tottenham Hotspur (2.2421),1,False
Manchester United,AFC Bournemouth | Manchester City | Arsenal,AFC Bournemouth (2.0224) | Manchester City (2.4702) | Arsenal (2.5999),AFC Bournemouth | Manchester City | Arsenal,AFC Bournemouth (0.5951) | Manchester City (0.7083) | Arsenal (0.7709),3,True,Arsenal | AFC Bournemouth | Chelsea,Arsenal (1.0379) | AFC Bournemouth (2.0193) | Chelsea (2.0314),2,False
