team,attacking_territory_share_pct,pass_verticality,high_zone_pressures_per_100_opposition_passes,mean_final_third_destination_width,from_counter_possession_rate,attacking_territory_z,pass_verticality_z,pressing_intensity_z,attacking_width_z,counterattacking_tendency_z
AFC Bournemouth,52.900000,0.321900,33.342000,22.702000,4.460000,0.339493,-0.604976,1.048682,1.278405,-0.349015
Arsenal,63.300000,0.293600,29.586000,20.927000,3.729000,1.384085,-1.163385,0.114597,-0.993945,-1.050116
Aston Villa,44.000000,0.340100,25.858000,21.984000,4.173000,-0.554438,-0.245858,-0.812525,0.359223,-0.624276
Chelsea,61.300000,0.305600,31.307000,21.281000,5.342000,1.183202,-0.926604,0.542595,-0.540755,0.496908
Crystal Palace,40.800000,0.403000,29.291000,22.473000,4.361000,-0.875851,0.995271,0.041233,0.985240,-0.443966
Everton,48.200000,0.319500,27.059000,20.948000,5.543000,-0.132583,-0.652332,-0.513846,-0.967061,0.689687
Leicester City,42.000000,0.444500,27.105000,22.273000,6.914000,-0.755321,1.814139,-0.502406,0.729201,2.004609
Liverpool,58.700000,0.328900,38.369000,20.740000,5.323000,0.922054,-0.466854,2.298854,-1.233342,0.478685
Manchester City,67.800000,0.280900,30.828000,22.180000,5.869000,1.836073,-1.413979,0.423472,0.610142,1.002353
Manchester United,68.600000,0.279500,32.856000,22.789000,3.484000,1.916426,-1.441603,0.927818,1.389783,-1.285094
Newcastle United,39.000000,0.363600,26.892000,22.225000,5.499000,-1.056646,0.217839,-0.555378,0.667751,0.647487
Norwich City,46.700000,0.389500,25.322000,22.950000,3.843000,-0.283245,0.728892,-0.945823,1.595894,-0.940779
Southampton,50.700000,0.364000,29.743000,21.574000,6.392000,0.118521,0.225731,0.153642,-0.165658,1.503960
Stoke City,43.200000,0.347200,26.713000,21.092000,3.431000,-0.634791,-0.105762,-0.599894,-0.782713,-1.335927
Sunderland,34.700000,0.443400,24.811000,20.317000,4.560000,-1.488545,1.792434,-1.072905,-1.774866,-0.253106
Swansea City,46.000000,0.309200,29.992000,22.034000,3.755000,-0.353554,-0.855570,0.215566,0.423233,-1.025179
Tottenham Hotspur,57.700000,0.318400,38.297000,20.587000,5.887000,0.821612,-0.674037,2.280948,-1.429213,1.019616
Watford,41.600000,0.407600,25.400000,20.921000,4.904000,-0.795498,1.086037,-0.926425,-1.001627,0.076824
West Bromwich Albion,36.700000,0.425600,24.777000,21.721000,3.257000,-1.287661,1.441209,-1.081360,0.022531,-1.502810
West Ham United,46.500000,0.365200,24.956000,22.350000,5.752000,-0.303334,0.249410,-1.036844,0.827776,0.890138
